text,gold_status
Working diagnosis of chest pain,ambiguous
migraine not detected,negated
nausea for the past 3 days,ongoing
pneumonia not detected,negated
asthma has resolved,resolved
pneumonia in the past,resolved
Denies heart failure,negated
? obesity,ambiguous
edema worsening,ongoing
Could represent vertigo,ambiguous
Managed pneumonia,ongoing
heart failure worsening,ongoing
seizures resolved after treatment,resolved
Presenting with hypertension,ongoing
Stable sepsis,ongoing
Suspected stroke,ambiguous
pneumonia last year,resolved
Past history of nausea,resolved
fever resolved,resolved
asthma continues,ongoing
No evidence of migraine,negated
hypertension ongoing,ongoing
Could represent pulmonary embolism,ambiguous
rheumatoid arthritis in the past,resolved
osteoporosis has resolved,resolved
heart failure in remission,resolved
Past history of sepsis,resolved
No evidence of chest pain,negated
Active coronary artery disease,ongoing
No complaints of obesity,negated
anxiety previously diagnosed,resolved
Questionable anxiety,ambiguous
pneumonia in remission,resolved
Patient has sepsis,ongoing
Symptoms consistent with hypertension,ambiguous
headache fully resolved,resolved
insomnia worsening,ongoing
vertigo not improving on current regimen,ongoing
pneumonia has resolved,resolved
Could represent insomnia,ambiguous
Imaging shows no evidence of nausea,negated
nausea -ve,negated
edema -ve,negated
headache ruled out,negated
stroke ongoing,ongoing
atrial fibrillation active,ongoing
No active vertigo,negated
Considering insomnia,ambiguous
Free of edema,negated
Working diagnosis of headache,ambiguous
Denies rheumatoid arthritis,negated
insomnia for the past 3 days,ongoing
insomnia last year,resolved
Prior diabetes,resolved
Acute coronary artery disease,ongoing
headache was treated,resolved
hypertension not detected,negated
Recovered from depression,resolved
seizures ruled out,negated
obesity previously diagnosed,resolved
Suspected migraine,ambiguous
pneumonia controlled on medication,ongoing
rheumatoid arthritis not detected,negated
Worsening rheumatoid arthritis,ongoing
depression in remission,resolved
May have gout,ambiguous
Symptoms consistent with headache,ambiguous
edema no longer present,resolved
No current seizures,negated
Active osteoporosis,ongoing
No documented atrial fibrillation,negated
Possible new asthma,ambiguous
shortness of breath for the past 3 days,ongoing
Denies cough,negated
s/p treatment for coronary artery disease,resolved
Possible history of pulmonary embolism,ambiguous
Denies any history of pneumonia,negated
Possible history of gout,ambiguous
Had osteoporosis last year,resolved
anxiety ruled out,negated
deep vein thrombosis continues,ongoing
sepsis worsening,ongoing
obesity treated successfully,resolved
To rule out fever,ambiguous
heart failure cleared 6 months ago,resolved
deep vein thrombosis controlled on medication,ongoing
gout since this morning,ongoing
Possible heart failure,ambiguous
Could represent asthma,ambiguous
Status post migraine,resolved
Patient has anemia,ongoing
Concern for seizures,ambiguous
Possible headache,ambiguous
depression ongoing,ongoing
Differential includes shortness of breath,ambiguous
Had vertigo last year,resolved
Could represent obesity,ambiguous
seizures in remission,resolved
Possible new migraine,ambiguous
pulmonary embolism last year,resolved
Patient has no coronary artery disease,negated
No history of depression,negated
Chronic cough,ongoing
Status post headache,resolved
chest pain not present,negated
Patient has no shortness of breath,negated
obesity cleared 6 months ago,resolved
anemia ongoing,ongoing
stroke not improving on current regimen,ongoing
No documented heart failure,negated
Managed shortness of breath,ongoing
edema since this morning,ongoing
No documented stroke,negated
? depression,ambiguous
No documented shortness of breath,negated
asthma remains present,ongoing
Denies atrial fibrillation,negated
vertigo worsening,ongoing
Questionable vertigo,ambiguous
atrial fibrillation ruled out,negated
Currently has sepsis,ongoing
anemia 2 months ago,resolved
? migraine,ambiguous
fever treated successfully,resolved
Imaging shows no evidence of shortness of breath,negated
seizures currently present,ongoing
No signs of stroke,negated
sepsis for the past 3 days,ongoing
sepsis fully resolved,resolved
No longer has fatigue,resolved
Imaging shows no evidence of osteoporosis,negated
Chronic heart failure,ongoing
Unlikely but possible chest pain,ambiguous
sepsis was treated,resolved
Differential includes anemia,ambiguous
Could represent fatigue,ambiguous
No evidence of fever,negated
shortness of breath improving,ongoing
fatigue not detected,negated
To rule out deep vein thrombosis,ambiguous
Atypical presentation of atrial fibrillation,ambiguous
May have headache,ambiguous
Presenting with asthma,ongoing
h/o cough,resolved
No known anxiety,negated
hypertension not present,negated
Query gout,ambiguous
gout in the past,resolved
Previous episode of edema,resolved
Patient denies osteoporosis,negated
Suspected osteoporosis,ambiguous
? sepsis,ambiguous
No documented pulmonary embolism,negated
Persistent diabetes,ongoing
? chest pain,ambiguous
vertigo fully resolved,resolved
anemia 3 years ago,resolved
migraine worsening,ongoing
fatigue well-controlled,ongoing
chest pain remains present,ongoing
No current anemia,negated
Does not have cough,negated
chest pain for the past 3 days,ongoing
Does not have rheumatoid arthritis,negated
Recovered from diabetes,resolved
No active deep vein thrombosis,negated
cough negative,negated
Currently has fever,ongoing
No active pulmonary embolism,negated
Former fatigue,resolved
Does not have fatigue,negated
Patient denies chest pain,negated
gout improving,ongoing
Acute shortness of breath,ongoing
Recovered from edema,resolved
deep vein thrombosis fully resolved,resolved
atrial fibrillation no longer present,resolved
Denies any history of depression,negated
Active fatigue,ongoing
Cannot rule out hypertension,ambiguous
rheumatoid arthritis fully resolved,resolved
heart failure not detected,negated
rheumatoid arthritis remains present,ongoing
Complains of nausea,ongoing
Possible coronary artery disease,ambiguous
Possible new seizures,ambiguous
Free of cough,negated
Differential includes osteoporosis,ambiguous
May have cough,ambiguous
Status post pulmonary embolism,resolved
Questionable obesity,ambiguous
stroke controlled on medication,ongoing
stroke cleared 6 months ago,resolved
s/p treatment for anemia,resolved
Previous episode of chest pain,resolved
Possible history of insomnia,ambiguous
Suspected coronary artery disease,ambiguous
No complaints of depression,negated
edema negative,negated
Former migraine,resolved
hypertension well-controlled,ongoing
fatigue absent,negated
headache in remission,resolved
Probable shortness of breath,ambiguous
Probable fatigue,ambiguous
depression not detected,negated
headache 2 months ago,resolved
Working diagnosis of fatigue,ambiguous
Without anemia,negated
Probable obesity,ambiguous
To rule out diabetes,ambiguous
Absence of chest pain,negated
Currently has insomnia,ongoing
Worsening seizures,ongoing
Could represent rheumatoid arthritis,ambiguous
deep vein thrombosis 3 years ago,resolved
deep vein thrombosis was treated,resolved
No signs of sepsis,negated
Concern for deep vein thrombosis,ambiguous
h/o chest pain,resolved
pulmonary embolism active,ongoing
May have atrial fibrillation,ambiguous
heart failure for the past 3 days,ongoing
Absence of obesity,negated
No current gout,negated
Possible cough,ambiguous
No known headache,negated
Questionable atrial fibrillation,ambiguous
No coronary artery disease,negated
rheumatoid arthritis ongoing,ongoing
Acute osteoporosis,ongoing
Patient has no depression,negated
Denies any history of atrial fibrillation,negated
History of seizures,resolved
No longer has stroke,resolved
vertigo continues,ongoing
Imaging shows no evidence of diabetes,negated
vertigo not present,negated
History of hypertension,resolved
gout has resolved,resolved
Past history of fever,resolved
Absence of coronary artery disease,negated
sepsis well-controlled,ongoing
Symptoms consistent with chest pain,ambiguous
Presenting with atrial fibrillation,ongoing
Chronic sepsis,ongoing
migraine no longer present,resolved
pulmonary embolism well-controlled,ongoing
No longer has gout,resolved
May have migraine,ambiguous
coronary artery disease previously diagnosed,resolved
? coronary artery disease,ambiguous
Possible history of diabetes,ambiguous
Absence of gout,negated
vertigo stable,ongoing
Probable edema,ambiguous
Atypical presentation of coronary artery disease,ambiguous
cough last year,resolved
hypertension currently present,ongoing
Had atrial fibrillation last year,resolved
May have seizures,ambiguous
Without sepsis,negated
depression improving,ongoing
May have depression,ambiguous
No pneumonia,negated
shortness of breath is stable,ongoing
Denies any history of pulmonary embolism,negated
Recovered from migraine,resolved
fatigue ruled out,negated
migraine 2 months ago,resolved
coronary artery disease not detected,negated
Atypical presentation of stroke,ambiguous
Could represent heart failure,ambiguous
anemia was treated,resolved
Absence of pneumonia,negated
Former sepsis,resolved
Patient has nausea,ongoing
migraine ruled out,negated
Rule out gout,ambiguous
Complains of insomnia,ongoing
Differential includes obesity,ambiguous
Possible shortness of breath,ambiguous
Possible new deep vein thrombosis,ambiguous
Without hypertension,negated
nausea negative,negated
To rule out osteoporosis,ambiguous
Negative for fatigue,negated
obesity continues,ongoing
migraine has resolved,resolved
Denies seizures,negated
Rule out obesity,ambiguous
anxiety remains present,ongoing
Complains of deep vein thrombosis,ongoing
Atypical presentation of sepsis,ambiguous
To rule out seizures,ambiguous
Possible new sepsis,ambiguous
Patient denies vertigo,negated
Possible new diabetes,ambiguous
anemia continues,ongoing
Without depression,negated
Rule out seizures,ambiguous
rheumatoid arthritis was treated,resolved
Complains of asthma,ongoing
No active shortness of breath,negated
shortness of breath active,ongoing
gout controlled on medication,ongoing
fatigue stable,ongoing
cough ongoing,ongoing
stroke fully resolved,resolved
Possible new atrial fibrillation,ambiguous
atrial fibrillation has resolved,resolved
insomnia previously diagnosed,resolved
History of pneumonia,resolved
Worsening insomnia,ongoing
anxiety is stable,ongoing
Unlikely but possible coronary artery disease,ambiguous
Past history of seizures,resolved
Query anxiety,ambiguous
Persistent osteoporosis,ongoing
fever ruled out,negated
Cannot rule out osteoporosis,ambiguous
Active gout,ongoing
Possible history of asthma,ambiguous
Negative for sepsis,negated
insomnia not detected,negated
Currently has atrial fibrillation,ongoing
chest pain last year,resolved
No evidence of cough,negated
sepsis active,ongoing
No signs of nausea,negated
? rheumatoid arthritis,ambiguous
History of headache,resolved
Rule out fever,ambiguous
Patient has no insomnia,negated
Query chest pain,ambiguous
osteoporosis not improving on current regimen,ongoing
heart failure continues,ongoing
No signs of seizures,negated
No fever,negated
rheumatoid arthritis well-controlled,ongoing
rheumatoid arthritis active,ongoing
? headache,ambiguous
cough remains present,ongoing
Possible history of headache,ambiguous
sepsis resolved after treatment,resolved
Managed insomnia,ongoing
Denies any history of obesity,negated
Concern for gout,ambiguous
anxiety continues,ongoing
Imaging shows no evidence of pulmonary embolism,negated
Presenting with headache,ongoing
Currently has vertigo,ongoing
nausea not detected,negated
Worsening coronary artery disease,ongoing
Possible new anxiety,ambiguous
History of chest pain,resolved
Atypical presentation of pulmonary embolism,ambiguous
Possible new gout,ambiguous
Status post heart failure,resolved
Possible new obesity,ambiguous
pulmonary embolism treated successfully,resolved
History of stroke,resolved
Prior hypertension,resolved
Possible gout,ambiguous
Without pneumonia,negated
No signs of vertigo,negated
migraine negative,negated
To rule out migraine,ambiguous
pneumonia cleared 6 months ago,resolved
Unlikely but possible headache,ambiguous
Free of heart failure,negated
rheumatoid arthritis continues,ongoing
Denies diabetes,negated
seizures is stable,ongoing
May have diabetes,ambiguous
asthma in remission,resolved
To rule out insomnia,ambiguous
pneumonia 2 months ago,resolved
Worsening hypertension,ongoing
atrial fibrillation currently present,ongoing
chest pain 2 months ago,resolved
coronary artery disease worsening,ongoing
Status post obesity,resolved
Considering anxiety,ambiguous
gout not detected,negated
Considering nausea,ambiguous
pulmonary embolism ongoing,ongoing
Concern for heart failure,ambiguous
sepsis no longer present,resolved
headache last year,resolved
anemia resolved,resolved
No active obesity,negated
Suspected deep vein thrombosis,ambiguous
atrial fibrillation cleared 6 months ago,resolved
Prior gout,resolved
No longer has insomnia,resolved
Had asthma last year,resolved
No longer has shortness of breath,resolved
sepsis 2 months ago,resolved
History of nausea,resolved
pneumonia worsening,ongoing
anemia since this morning,ongoing
? fatigue,ambiguous
Patient denies anemia,negated
Patient denies diabetes,negated
h/o nausea,resolved
No signs of edema,negated
No history of heart failure,negated
Could represent coronary artery disease,ambiguous
To rule out asthma,ambiguous
coronary artery disease is stable,ongoing
Previous episode of fever,resolved
Complains of heart failure,ongoing
Rule out nausea,ambiguous
Complains of headache,ongoing
cough active,ongoing
osteoporosis treated successfully,resolved
asthma cleared 6 months ago,resolved
atrial fibrillation fully resolved,resolved
Unlikely but possible pulmonary embolism,ambiguous
h/o depression,resolved
No active stroke,negated
sepsis not improving on current regimen,ongoing
History of rheumatoid arthritis,resolved
obesity in the past,resolved
osteoporosis not present,negated
No active diabetes,negated
Concern for stroke,ambiguous
Patient has deep vein thrombosis,ongoing
Patient has vertigo,ongoing
Active pulmonary embolism,ongoing
Imaging shows no evidence of pneumonia,negated
Query anemia,ambiguous
No current rheumatoid arthritis,negated
Former gout,resolved
Probable cough,ambiguous
Atypical presentation of shortness of breath,ambiguous
Status post stroke,resolved
Unlikely but possible insomnia,ambiguous
pneumonia not improving on current regimen,ongoing
Does not have obesity,negated
Managed fatigue,ongoing
pneumonia improving,ongoing
Query seizures,ambiguous
Active heart failure,ongoing
Cannot rule out anemia,ambiguous
shortness of breath not detected,negated
Stable nausea,ongoing
chest pain ongoing,ongoing
deep vein thrombosis treated successfully,resolved
Recovered from chest pain,resolved
coronary artery disease -ve,negated
sepsis controlled on medication,ongoing
Patient denies coronary artery disease,negated
anxiety stable,ongoing
anemia cleared 6 months ago,resolved
Active stroke,ongoing
Prior migraine,resolved
Worsening heart failure,ongoing
No known deep vein thrombosis,negated
coronary artery disease in the past,resolved
diabetes was treated,resolved
No known chest pain,negated
Cannot rule out rheumatoid arthritis,ambiguous
seizures worsening,ongoing
Presenting with pulmonary embolism,ongoing
Free of stroke,negated
Complains of obesity,ongoing
Unlikely but possible sepsis,ambiguous
Concern for pulmonary embolism,ambiguous
Persistent anemia,ongoing
Denies any history of asthma,negated
Previous episode of asthma,resolved
Chronic atrial fibrillation,ongoing
Managed headache,ongoing
headache cleared 6 months ago,resolved
fatigue no longer present,resolved
Atypical presentation of fatigue,ambiguous
shortness of breath continues,ongoing
No stroke,negated
May have nausea,ambiguous
depression active,ongoing
Previous episode of heart failure,resolved
Rule out heart failure,ambiguous
nausea resolved after treatment,resolved
Free of nausea,negated
No documented chest pain,negated
Working diagnosis of stroke,ambiguous
Managed depression,ongoing
Persistent asthma,ongoing
nausea well-controlled,ongoing
vertigo in remission,resolved
Does not have sepsis,negated
Free of depression,negated
anxiety negative,negated
stroke stable,ongoing
rheumatoid arthritis is stable,ongoing
cough ruled out,negated
Prior deep vein thrombosis,resolved
pneumonia not present,negated
shortness of breath controlled on medication,ongoing
Symptoms consistent with rheumatoid arthritis,ambiguous
anxiety absent,negated
depression resolved,resolved
Questionable pulmonary embolism,ambiguous
History of anxiety,resolved
Prior headache,resolved
Could represent headache,ambiguous
No active osteoporosis,negated
fatigue cleared 6 months ago,resolved
asthma for the past 3 days,ongoing
atrial fibrillation continues,ongoing
Patient has no stroke,negated
Acute diabetes,ongoing
Cannot rule out seizures,ambiguous
Possible edema,ambiguous
Does not have pneumonia,negated
Symptoms consistent with migraine,ambiguous
No current nausea,negated
chest pain absent,negated
fatigue -ve,negated
History of insomnia,resolved
Former obesity,resolved
rheumatoid arthritis controlled on medication,ongoing
sepsis improving,ongoing
Persistent heart failure,ongoing
sepsis cleared 6 months ago,resolved
History of heart failure,resolved
Symptoms consistent with anxiety,ambiguous
No longer has edema,resolved
rheumatoid arthritis no longer present,resolved
sepsis treated successfully,resolved
obesity absent,negated
Imaging shows no evidence of edema,negated
cough 3 years ago,resolved
coronary artery disease ruled out,negated
No signs of deep vein thrombosis,negated
atrial fibrillation is stable,ongoing
headache previously diagnosed,resolved
fatigue in the past,resolved
coronary artery disease was treated,resolved
asthma resolved,resolved
Atypical presentation of pneumonia,ambiguous
hypertension was treated,resolved
Concern for sepsis,ambiguous
seizures 2 months ago,resolved
Patient denies anxiety,negated
Questionable gout,ambiguous
Former pneumonia,resolved
cough not detected,negated
No complaints of headache,negated
Denies pulmonary embolism,negated
Rule out fatigue,ambiguous
Working diagnosis of coronary artery disease,ambiguous
fever well-controlled,ongoing
Possible new pulmonary embolism,ambiguous
Could represent hypertension,ambiguous
edema ongoing,ongoing
Could represent anemia,ambiguous
deep vein thrombosis previously diagnosed,resolved
Patient denies edema,negated
diabetes in the past,resolved
No evidence of pulmonary embolism,negated
Had seizures last year,resolved
Patient has no headache,negated
anemia for the past 3 days,ongoing
edema was treated,resolved
Differential includes chest pain,ambiguous
Possible insomnia,ambiguous
Denies gout,negated
No complaints of heart failure,negated
fatigue continues,ongoing
Recovered from osteoporosis,resolved
Worsening migraine,ongoing
Former cough,resolved
Recovered from shortness of breath,resolved
deep vein thrombosis last year,resolved
Denies sepsis,negated
Unlikely but possible shortness of breath,ambiguous
insomnia improving,ongoing
Working diagnosis of osteoporosis,ambiguous
? anemia,ambiguous
anxiety treated successfully,resolved
Concern for hypertension,ambiguous
obesity ongoing,ongoing
vertigo no longer present,resolved
Patient denies insomnia,negated
Absence of anxiety,negated
h/o anemia,resolved
Without fatigue,negated
diabetes improving,ongoing
depression ruled out,negated
Chronic coronary artery disease,ongoing
No current deep vein thrombosis,negated
Recovered from sepsis,resolved
No evidence of sepsis,negated
History of fatigue,resolved
Presenting with chest pain,ongoing
Without cough,negated
asthma previously diagnosed,resolved
Concern for obesity,ambiguous
Possible fatigue,ambiguous
? cough,ambiguous
migraine previously diagnosed,resolved
Negative for gout,negated
No documented obesity,negated
Working diagnosis of vertigo,ambiguous
deep vein thrombosis well-controlled,ongoing
Working diagnosis of sepsis,ambiguous
Differential includes sepsis,ambiguous
migraine in remission,resolved
No known gout,negated
anxiety ongoing,ongoing
Does not have heart failure,negated
Prior anxiety,resolved
edema in the past,resolved
Patient denies pulmonary embolism,negated
fatigue was treated,resolved
gout well-controlled,ongoing
Patient has stroke,ongoing
No documented vertigo,negated
nausea active,ongoing
s/p treatment for hypertension,resolved
To rule out anxiety,ambiguous
gout not improving on current regimen,ongoing
Negative for nausea,negated
rheumatoid arthritis stable,ongoing
pulmonary embolism in the past,resolved
Free of obesity,negated
Possible history of anxiety,ambiguous
Could represent nausea,ambiguous
Imaging shows no evidence of gout,negated
fatigue active,ongoing
Does not have nausea,negated
No active rheumatoid arthritis,negated
May have pulmonary embolism,ambiguous
cough controlled on medication,ongoing
No documented osteoporosis,negated
fever in remission,resolved
Managed sepsis,ongoing
Active headache,ongoing
Past history of diabetes,resolved
Past history of deep vein thrombosis,resolved
Had deep vein thrombosis last year,resolved
Does not have coronary artery disease,negated
No known anemia,negated
deep vein thrombosis since this morning,ongoing
Free of headache,negated
anemia controlled on medication,ongoing
Unlikely but possible heart failure,ambiguous
Acute rheumatoid arthritis,ongoing
s/p treatment for sepsis,resolved
heart failure remains present,ongoing
gout not present,negated
Could represent atrial fibrillation,ambiguous
hypertension worsening,ongoing
Imaging shows no evidence of stroke,negated
Symptoms consistent with depression,ambiguous
fever fully resolved,resolved
Symptoms consistent with osteoporosis,ambiguous
Considering stroke,ambiguous
Active vertigo,ongoing
h/o atrial fibrillation,resolved
Possible asthma,ambiguous
Differential includes edema,ambiguous
pulmonary embolism remains present,ongoing
To rule out depression,ambiguous
coronary artery disease 2 months ago,resolved
chest pain active,ongoing
Questionable coronary artery disease,ambiguous
nausea resolved,resolved
edema stable,ongoing
Former edema,resolved
Questionable osteoporosis,ambiguous
nausea controlled on medication,ongoing
s/p treatment for vertigo,resolved
pneumonia currently present,ongoing
Prior fever,resolved
seizures -ve,negated
obesity is stable,ongoing
depression 3 years ago,resolved
Working diagnosis of diabetes,ambiguous
Denies shortness of breath,negated
No evidence of coronary artery disease,negated
Negative for edema,negated
vertigo ongoing,ongoing
Absence of heart failure,negated
atrial fibrillation resolved after treatment,resolved
Does not have migraine,negated
Acute obesity,ongoing
No current pulmonary embolism,negated
edema not detected,negated
osteoporosis fully resolved,resolved
Possible obesity,ambiguous
No documented seizures,negated
No documented anemia,negated
Concern for fatigue,ambiguous
pneumonia continues,ongoing
Presenting with rheumatoid arthritis,ongoing
Persistent coronary artery disease,ongoing
h/o vertigo,resolved
No longer has chest pain,resolved
fatigue in remission,resolved
anxiety cleared 6 months ago,resolved
Query edema,ambiguous
diabetes previously diagnosed,resolved
Atypical presentation of anemia,ambiguous
Cannot rule out headache,ambiguous
Symptoms consistent with edema,ambiguous
shortness of breath 2 months ago,resolved
No longer has anemia,resolved
No history of obesity,negated
headache negative,negated
To rule out stroke,ambiguous
fever for the past 3 days,ongoing
seizures absent,negated
Patient has no seizures,negated
Differential includes stroke,ambiguous
No signs of asthma,negated
Denies chest pain,negated
To rule out shortness of breath,ambiguous
Atypical presentation of gout,ambiguous
Denies migraine,negated
Currently has obesity,ongoing
sepsis stable,ongoing
No history of atrial fibrillation,negated
No deep vein thrombosis,negated
insomnia remains present,ongoing
Patient has fatigue,ongoing
sepsis in the past,resolved
edema treated successfully,resolved
Patient denies hypertension,negated
heart failure last year,resolved
osteoporosis negative,negated
migraine not present,negated
Query sepsis,ambiguous
cough stable,ongoing
nausea no longer present,resolved
asthma resolved after treatment,resolved
Rule out anxiety,ambiguous
? atrial fibrillation,ambiguous
deep vein thrombosis remains present,ongoing
Symptoms consistent with vertigo,ambiguous
No active headache,negated
Denies any history of diabetes,negated
obesity resolved,resolved
Unlikely but possible obesity,ambiguous
osteoporosis not detected,negated
Patient has cough,ongoing
migraine cleared 6 months ago,resolved
Complains of anemia,ongoing
No history of headache,negated
Possible history of edema,ambiguous
No complaints of seizures,negated
? hypertension,ambiguous
Imaging shows no evidence of rheumatoid arthritis,negated
cough cleared 6 months ago,resolved
stroke since this morning,ongoing
No known fatigue,negated
insomnia 3 years ago,resolved
Complains of osteoporosis,ongoing
? stroke,ambiguous
Had fever last year,resolved
depression cleared 6 months ago,resolved
vertigo resolved,resolved
Patient denies nausea,negated
headache not present,negated
May have rheumatoid arthritis,ambiguous
fever in the past,resolved
Does not have headache,negated
shortness of breath no longer present,resolved
osteoporosis was treated,resolved
Patient denies gout,negated
No documented fever,negated
Does not have vertigo,negated
depression not improving on current regimen,ongoing
seizures controlled on medication,ongoing
rheumatoid arthritis since this morning,ongoing
Worsening deep vein thrombosis,ongoing
hypertension in the past,resolved
Former fever,resolved
nausea ongoing,ongoing
No longer has osteoporosis,resolved
Symptoms consistent with seizures,ambiguous
Symptoms consistent with gout,ambiguous
Presenting with nausea,ongoing
Unlikely but possible gout,ambiguous
Symptoms consistent with shortness of breath,ambiguous
Presenting with anxiety,ongoing
Previous episode of coronary artery disease,resolved
Managed chest pain,ongoing
Symptoms consistent with deep vein thrombosis,ambiguous
Possible hypertension,ambiguous
Presenting with edema,ongoing
Without heart failure,negated
Unlikely but possible pneumonia,ambiguous
No signs of fatigue,negated
Active cough,ongoing
Negative for depression,negated
chest pain well-controlled,ongoing
osteoporosis last year,resolved
Unlikely but possible osteoporosis,ambiguous
Patient has no chest pain,negated
Free of hypertension,negated
Negative for anxiety,negated
anemia previously diagnosed,resolved
h/o pneumonia,resolved
rheumatoid arthritis improving,ongoing
Recovered from asthma,resolved
Rule out insomnia,ambiguous
coronary artery disease last year,resolved
No known osteoporosis,negated
Questionable seizures,ambiguous
Differential includes rheumatoid arthritis,ambiguous
Denies edema,negated
No evidence of rheumatoid arthritis,negated
h/o fever,resolved
Working diagnosis of depression,ambiguous
osteoporosis stable,ongoing
seizures not improving on current regimen,ongoing
fever -ve,negated
osteoporosis -ve,negated
Concern for cough,ambiguous
Questionable deep vein thrombosis,ambiguous
Stable anemia,ongoing
Currently has heart failure,ongoing
Acute pneumonia,ongoing
Working diagnosis of shortness of breath,ambiguous
Atypical presentation of edema,ambiguous
Recovered from nausea,resolved
No current pneumonia,negated
Denies any history of chest pain,negated
No evidence of seizures,negated
h/o obesity,resolved
No anxiety,negated
Possible history of seizures,ambiguous
Currently has depression,ongoing
nausea in remission,resolved
Probable migraine,ambiguous
stroke active,ongoing
seizures since this morning,ongoing
No fatigue,negated
Had headache last year,resolved
Cannot rule out cough,ambiguous
sepsis not present,negated
Concern for rheumatoid arthritis,ambiguous
osteoporosis resolved,resolved
Suspected headache,ambiguous
No diabetes,negated
No active atrial fibrillation,negated
Atypical presentation of asthma,ambiguous
Rule out chest pain,ambiguous
Imaging shows no evidence of fever,negated
No complaints of osteoporosis,negated
Denies any history of vertigo,negated
Currently has diabetes,ongoing
Cannot rule out gout,ambiguous
Presenting with depression,ongoing
Cannot rule out deep vein thrombosis,ambiguous
Presenting with fever,ongoing
Probable chest pain,ambiguous
asthma well-controlled,ongoing
atrial fibrillation previously diagnosed,resolved
Acute fatigue,ongoing
Active seizures,ongoing
Complains of shortness of breath,ongoing
fatigue currently present,ongoing
sepsis -ve,negated
No known nausea,negated
Previous episode of pneumonia,resolved
No longer has rheumatoid arthritis,resolved
Could represent migraine,ambiguous
Persistent pulmonary embolism,ongoing
gout no longer present,resolved
stroke was treated,resolved
obesity no longer present,resolved
Active rheumatoid arthritis,ongoing
Rule out diabetes,ambiguous
Recovered from fever,resolved
Had hypertension last year,resolved
Query shortness of breath,ambiguous
Possible history of osteoporosis,ambiguous
Possible new anemia,ambiguous
atrial fibrillation last year,resolved
migraine is stable,ongoing
Symptoms consistent with fever,ambiguous
No signs of cough,negated
Worsening anxiety,ongoing
Absence of insomnia,negated
Free of diabetes,negated
To rule out nausea,ambiguous
anemia stable,ongoing
Absence of hypertension,negated
No current coronary artery disease,negated
Could represent depression,ambiguous
coronary artery disease has resolved,resolved
rheumatoid arthritis ruled out,negated
Could represent sepsis,ambiguous
Probable rheumatoid arthritis,ambiguous
Could represent edema,ambiguous
chest pain no longer present,resolved
atrial fibrillation treated successfully,resolved
edema is stable,ongoing
Negative for coronary artery disease,negated
vertigo remains present,ongoing
Worsening shortness of breath,ongoing
Negative for insomnia,negated
Working diagnosis of edema,ambiguous
Acute chest pain,ongoing
Free of vertigo,negated
pulmonary embolism negative,negated
insomnia ongoing,ongoing
vertigo has resolved,resolved
Possible history of anemia,ambiguous
No history of fever,negated
headache currently present,ongoing
No evidence of anxiety,negated
osteoporosis continues,ongoing
anemia improving,ongoing
stroke in the past,resolved
osteoporosis is stable,ongoing
Patient denies depression,negated
Possible history of migraine,ambiguous
Patient has no pulmonary embolism,negated
deep vein thrombosis absent,negated
No active depression,negated
seizures was treated,resolved
heart failure stable,ongoing
Denies coronary artery disease,negated
gout resolved,resolved
Acute deep vein thrombosis,ongoing
May have stroke,ambiguous
atrial fibrillation 2 months ago,resolved
Symptoms consistent with heart failure,ambiguous
hypertension last year,resolved
h/o coronary artery disease,resolved
atrial fibrillation in the past,resolved
Absence of seizures,negated
Patient has edema,ongoing
fever negative,negated
Former nausea,resolved
Patient denies deep vein thrombosis,negated
Presenting with deep vein thrombosis,ongoing
s/p treatment for pulmonary embolism,resolved
