text,gold_status
Negative for obesity,negated
Patient has hypertension,ongoing
Possible history of stroke,ambiguous
Active sepsis,ongoing
stroke not present,negated
Concern for insomnia,ambiguous
fever last year,resolved
Rule out atrial fibrillation,ambiguous
chest pain worsening,ongoing
sepsis continues,ongoing
Suspected insomnia,ambiguous
Unlikely but possible stroke,ambiguous
s/p treatment for osteoporosis,resolved
Query heart failure,ambiguous
diabetes no longer present,resolved
migraine since this morning,ongoing
Recovered from anxiety,resolved
History of osteoporosis,resolved
Free of coronary artery disease,negated
No evidence of gout,negated
nausea stable,ongoing
No longer has anxiety,resolved
Possible history of nausea,ambiguous
No longer has obesity,resolved
Past history of anxiety,resolved
Suspected gout,ambiguous
Patient denies headache,negated
Past history of insomnia,resolved
Status post edema,resolved
No history of migraine,negated
cough worsening,ongoing
cough in remission,resolved
Former deep vein thrombosis,resolved
Does not have seizures,negated
diabetes last year,resolved
atrial fibrillation -ve,negated
Rule out deep vein thrombosis,ambiguous
anemia in remission,resolved
Working diagnosis of cough,ambiguous
Managed rheumatoid arthritis,ongoing
Negative for migraine,negated
headache resolved after treatment,resolved
? deep vein thrombosis,ambiguous
No longer has heart failure,resolved
osteoporosis controlled on medication,ongoing
Possible new rheumatoid arthritis,ambiguous
migraine treated successfully,resolved
No history of osteoporosis,negated
Unlikely but possible depression,ambiguous
Chronic vertigo,ongoing
atrial fibrillation well-controlled,ongoing
anemia currently present,ongoing
Past history of chest pain,resolved
No known coronary artery disease,negated
s/p treatment for headache,resolved
No documented nausea,negated
s/p treatment for edema,resolved
anxiety in remission,resolved
chest pain resolved after treatment,resolved
h/o stroke,resolved
Patient has no osteoporosis,negated
diabetes for the past 3 days,ongoing
pneumonia resolved after treatment,resolved
Without edema,negated
deep vein thrombosis stable,ongoing
Cannot rule out diabetes,ambiguous
pulmonary embolism in remission,resolved
hypertension treated successfully,resolved
No evidence of depression,negated
deep vein thrombosis not detected,negated
coronary artery disease absent,negated
rheumatoid arthritis treated successfully,resolved
Imaging shows no evidence of coronary artery disease,negated
fatigue not improving on current regimen,ongoing
depression fully resolved,resolved
Working diagnosis of asthma,ambiguous
Possible new vertigo,ambiguous
No known edema,negated
Chronic insomnia,ongoing
History of depression,resolved
cough continues,ongoing
depression continues,ongoing
Cannot rule out migraine,ambiguous
No signs of heart failure,negated
asthma controlled on medication,ongoing
Past history of stroke,resolved
Rule out cough,ambiguous
Stable chest pain,ongoing
Status post vertigo,resolved
No anemia,negated
Cannot rule out nausea,ambiguous
No current osteoporosis,negated
Negative for asthma,negated
Absence of diabetes,negated
Negative for fever,negated
obesity not detected,negated
asthma no longer present,resolved
Patient has coronary artery disease,ongoing
No documented migraine,negated
diabetes is stable,ongoing
Prior anemia,resolved
heart failure ruled out,negated
h/o edema,resolved
Stable anxiety,ongoing
Chronic fatigue,ongoing
Had chest pain last year,resolved
Acute nausea,ongoing
To rule out pulmonary embolism,ambiguous
diabetes 3 years ago,resolved
Query migraine,ambiguous
Suspected edema,ambiguous
Possible new fever,ambiguous
Query fatigue,ambiguous
Questionable heart failure,ambiguous
Worsening asthma,ongoing
Possible deep vein thrombosis,ambiguous
Presenting with cough,ongoing
stroke continues,ongoing
Atypical presentation of deep vein thrombosis,ambiguous
Concern for depression,ambiguous
Prior atrial fibrillation,resolved
Negative for stroke,negated
Working diagnosis of nausea,ambiguous
Recovered from stroke,resolved
diabetes 2 months ago,resolved
heart failure well-controlled,ongoing
Free of anxiety,negated
chest pain not detected,negated
Former headache,resolved
Negative for headache,negated
Denies vertigo,negated
Patient has pneumonia,ongoing
Stable depression,ongoing
shortness of breath -ve,negated
Questionable cough,ambiguous
obesity not present,negated
Had gout last year,resolved
fatigue controlled on medication,ongoing
Former pulmonary embolism,resolved
Chronic anxiety,ongoing
cough no longer present,resolved
vertigo cleared 6 months ago,resolved
pulmonary embolism since this morning,ongoing
rheumatoid arthritis not present,negated
Patient has no gout,negated
stroke -ve,negated
depression last year,resolved
asthma 2 months ago,resolved
Could represent osteoporosis,ambiguous
depression worsening,ongoing
Patient has no edema,negated
Status post gout,resolved
No edema,negated
No complaints of insomnia,negated
Possible migraine,ambiguous
Possible new pneumonia,ambiguous
Suspected pneumonia,ambiguous
Cannot rule out shortness of breath,ambiguous
Probable fever,ambiguous
headache improving,ongoing
No active coronary artery disease,negated
Recovered from pneumonia,resolved
Differential includes fever,ambiguous
anxiety was treated,resolved
May have vertigo,ambiguous
No evidence of atrial fibrillation,negated
Considering migraine,ambiguous
No headache,negated
h/o headache,resolved
Managed diabetes,ongoing
Currently has rheumatoid arthritis,ongoing
To rule out rheumatoid arthritis,ambiguous
seizures has resolved,resolved
Considering vertigo,ambiguous
rheumatoid arthritis resolved after treatment,resolved
Complains of fever,ongoing
Patient has rheumatoid arthritis,ongoing
Considering rheumatoid arthritis,ambiguous
Acute sepsis,ongoing
Managed obesity,ongoing
shortness of breath stable,ongoing
No known seizures,negated
vertigo was treated,resolved
Previous episode of anemia,resolved
Does not have fever,negated
Does not have deep vein thrombosis,negated
headache 3 years ago,resolved
Imaging shows no evidence of asthma,negated
Former seizures,resolved
Cannot rule out sepsis,ambiguous
pulmonary embolism has resolved,resolved
No active chest pain,negated
headache remains present,ongoing
Status post nausea,resolved
Unlikely but possible anxiety,ambiguous
asthma was treated,resolved
insomnia is stable,ongoing
pulmonary embolism stable,ongoing
No history of shortness of breath,negated
asthma -ve,negated
nausea cleared 6 months ago,resolved
nausea 3 years ago,resolved
Presenting with osteoporosis,ongoing
Probable depression,ambiguous
No complaints of nausea,negated
No known insomnia,negated
insomnia no longer present,resolved
Denies obesity,negated
fatigue 2 months ago,resolved
Denies any history of insomnia,negated
shortness of breath resolved,resolved
pulmonary embolism was treated,resolved
diabetes fully resolved,resolved
Imaging shows no evidence of vertigo,negated
cough in the past,resolved
Questionable insomnia,ambiguous
Currently has cough,ongoing
Differential includes deep vein thrombosis,ambiguous
s/p treatment for obesity,resolved
nausea last year,resolved
Chronic rheumatoid arthritis,ongoing
Past history of edema,resolved
Complains of depression,ongoing
Possible nausea,ambiguous
diabetes not detected,negated
Currently has stroke,ongoing
Patient denies stroke,negated
headache resolved,resolved
Former heart failure,resolved
No current fever,negated
Prior vertigo,resolved
Past history of heart failure,resolved
Absence of deep vein thrombosis,negated
Patient has no diabetes,negated
Complains of pneumonia,ongoing
Negative for vertigo,negated
edema continues,ongoing
diabetes absent,negated
Prior nausea,resolved
Negative for hypertension,negated
osteoporosis previously diagnosed,resolved
Probable coronary artery disease,ambiguous
Suspected hypertension,ambiguous
anemia in the past,resolved
Chronic hypertension,ongoing
anxiety 3 years ago,resolved
Considering gout,ambiguous
May have chest pain,ambiguous
Patient denies fatigue,negated
Chronic anemia,ongoing
No history of insomnia,negated
May have shortness of breath,ambiguous
Could represent pneumonia,ambiguous
No known obesity,negated
asthma last year,resolved
anemia negative,negated
pulmonary embolism 3 years ago,resolved
Does not have asthma,negated
Recovered from deep vein thrombosis,resolved
No longer has deep vein thrombosis,resolved
Previous episode of gout,resolved
No current chest pain,negated
No migraine,negated
Complains of chest pain,ongoing
gout was treated,resolved
nausea was treated,resolved
Differential includes hypertension,ambiguous
Currently has edema,ongoing
Concern for headache,ambiguous
Imaging shows no evidence of headache,negated
Currently has nausea,ongoing
Concern for nausea,ambiguous
deep vein thrombosis 2 months ago,resolved
sepsis absent,negated
Imaging shows no evidence of atrial fibrillation,negated
anemia not detected,negated
s/p treatment for fever,resolved
Negative for diabetes,negated
Unlikely but possible asthma,ambiguous
Presenting with fatigue,ongoing
No asthma,negated
Stable cough,ongoing
osteoporosis absent,negated
Complains of coronary artery disease,ongoing
cough fully resolved,resolved
Persistent edema,ongoing
No complaints of anemia,negated
fever continues,ongoing
Differential includes insomnia,ambiguous
rheumatoid arthritis 2 months ago,resolved
cough -ve,negated
No known migraine,negated
anemia is stable,ongoing
fatigue for the past 3 days,ongoing
Acute migraine,ongoing
coronary artery disease well-controlled,ongoing
stroke is stable,ongoing
chest pain controlled on medication,ongoing
Persistent anxiety,ongoing
anxiety controlled on medication,ongoing
s/p treatment for seizures,resolved
anxiety resolved,resolved
Cannot rule out obesity,ambiguous
Possible history of fatigue,ambiguous
Persistent fatigue,ongoing
Working diagnosis of hypertension,ambiguous
Patient denies rheumatoid arthritis,negated
Questionable edema,ambiguous
Questionable pneumonia,ambiguous
Active chest pain,ongoing
No documented hypertension,negated
Cannot rule out chest pain,ambiguous
Worsening depression,ongoing
Without migraine,negated
edema resolved after treatment,resolved
Denies deep vein thrombosis,negated
shortness of breath not improving on current regimen,ongoing
Possible new stroke,ambiguous
seizures negative,negated
fever resolved after treatment,resolved
Suspected cough,ambiguous
Former shortness of breath,resolved
No longer has pulmonary embolism,resolved
Denies any history of fatigue,negated
No documented anxiety,negated
edema remains present,ongoing
Unlikely but possible rheumatoid arthritis,ambiguous
History of coronary artery disease,resolved
Prior shortness of breath,resolved
No signs of depression,negated
gout stable,ongoing
Had diabetes last year,resolved
Prior pneumonia,resolved
s/p treatment for diabetes,resolved
Presenting with gout,ongoing
Free of osteoporosis,negated
Stable deep vein thrombosis,ongoing
Former depression,resolved
heart failure fully resolved,resolved
No current cough,negated
Rule out headache,ambiguous
fatigue fully resolved,resolved
Cannot rule out pneumonia,ambiguous
rheumatoid arthritis in remission,resolved
Symptoms consistent with insomnia,ambiguous
migraine well-controlled,ongoing
hypertension ruled out,negated
stroke negative,negated
No documented fatigue,negated
Negative for osteoporosis,negated
Free of shortness of breath,negated
diabetes -ve,negated
heart failure resolved,resolved
Questionable diabetes,ambiguous
fever improving,ongoing
Negative for rheumatoid arthritis,negated
stroke 3 years ago,resolved
Possible history of vertigo,ambiguous
fatigue resolved,resolved
Stable rheumatoid arthritis,ongoing
Rule out hypertension,ambiguous
Possible pneumonia,ambiguous
s/p treatment for migraine,resolved
Patient has headache,ongoing
Working diagnosis of obesity,ambiguous
migraine was treated,resolved
No complaints of fatigue,negated
anemia well-controlled,ongoing
Patient has osteoporosis,ongoing
Free of sepsis,negated
Imaging shows no evidence of sepsis,negated
Could represent stroke,ambiguous
Past history of asthma,resolved
Possible history of depression,ambiguous
Differential includes atrial fibrillation,ambiguous
No signs of chest pain,negated
hypertension absent,negated
Rule out vertigo,ambiguous
No active seizures,negated
shortness of breath absent,negated
History of sepsis,resolved
obesity was treated,resolved
Rule out asthma,ambiguous
No signs of diabetes,negated
No signs of rheumatoid arthritis,negated
anxiety last year,resolved
To rule out chest pain,ambiguous
No history of nausea,negated
Managed heart failure,ongoing
h/o fatigue,resolved
Possible new depression,ambiguous
Acute vertigo,ongoing
Managed vertigo,ongoing
pulmonary embolism improving,ongoing
Active migraine,ongoing
Persistent migraine,ongoing
Had pulmonary embolism last year,resolved
Rule out sepsis,ambiguous
Former hypertension,resolved
Denies hypertension,negated
? nausea,ambiguous
osteoporosis since this morning,ongoing
insomnia was treated,resolved
coronary artery disease remains present,ongoing
Had anxiety last year,resolved
insomnia active,ongoing
Differential includes vertigo,ambiguous
No shortness of breath,negated
Considering shortness of breath,ambiguous
May have hypertension,ambiguous
pulmonary embolism controlled on medication,ongoing
asthma fully resolved,resolved
Suspected chest pain,ambiguous
s/p treatment for anxiety,resolved
Stable gout,ongoing
seizures not present,negated
Patient has no obesity,negated
No complaints of chest pain,negated
chest pain cleared 6 months ago,resolved
shortness of breath not present,negated
Complains of vertigo,ongoing
Denies any history of nausea,negated
heart failure since this morning,ongoing
Active depression,ongoing
Stable diabetes,ongoing
No complaints of gout,negated
Denies any history of gout,negated
gout continues,ongoing
Patient has pulmonary embolism,ongoing
heart failure has resolved,resolved
No known shortness of breath,negated
Suspected atrial fibrillation,ambiguous
edema resolved,resolved
Differential includes cough,ambiguous
heart failure in the past,resolved
seizures active,ongoing
sepsis 3 years ago,resolved
Patient has atrial fibrillation,ongoing
No active fever,negated
sepsis since this morning,ongoing
cough not improving on current regimen,ongoing
Persistent chest pain,ongoing
s/p treatment for depression,resolved
deep vein thrombosis has resolved,resolved
Does not have anxiety,negated
Concern for anxiety,ambiguous
Chronic obesity,ongoing
chest pain was treated,resolved
Questionable rheumatoid arthritis,ambiguous
No current diabetes,negated
Does not have stroke,negated
Persistent depression,ongoing
osteoporosis in remission,resolved
anemia worsening,ongoing
pulmonary embolism for the past 3 days,ongoing
No known sepsis,negated
? asthma,ambiguous
No cough,negated
Unlikely but possible fatigue,ambiguous
Could represent anxiety,ambiguous
Currently has coronary artery disease,ongoing
No evidence of asthma,negated
Suspected shortness of breath,ambiguous
Possible history of coronary artery disease,ambiguous
Possible fever,ambiguous
Patient denies fever,negated
Questionable chest pain,ambiguous
No current stroke,negated
rheumatoid arthritis absent,negated
Acute cough,ongoing
stroke improving,ongoing
fatigue treated successfully,resolved
cough not present,negated
deep vein thrombosis in the past,resolved
Probable osteoporosis,ambiguous
Managed coronary artery disease,ongoing
No history of asthma,negated
coronary artery disease resolved,resolved
hypertension resolved,resolved
Denies any history of fever,negated
deep vein thrombosis currently present,ongoing
No history of cough,negated
nausea not improving on current regimen,ongoing
Possible history of heart failure,ambiguous
sepsis is stable,ongoing
Considering asthma,ambiguous
No hypertension,negated
Past history of pneumonia,resolved
Acute insomnia,ongoing
Symptoms consistent with nausea,ambiguous
? pulmonary embolism,ambiguous
Presenting with heart failure,ongoing
gout for the past 3 days,ongoing
Past history of obesity,resolved
Considering pneumonia,ambiguous
No evidence of fatigue,negated
Currently has seizures,ongoing
Chronic nausea,ongoing
Cannot rule out fever,ambiguous
? anxiety,ambiguous
Presenting with diabetes,ongoing
rheumatoid arthritis cleared 6 months ago,resolved
Denies any history of osteoporosis,negated
coronary artery disease active,ongoing
To rule out atrial fibrillation,ambiguous
No complaints of pneumonia,negated
Without obesity,negated
May have osteoporosis,ambiguous
anemia resolved after treatment,resolved
Prior heart failure,resolved
pneumonia treated successfully,resolved
To rule out anemia,ambiguous
Possible history of pneumonia,ambiguous
Status post pneumonia,resolved
Free of fatigue,negated
headache no longer present,resolved
pulmonary embolism cleared 6 months ago,resolved
h/o hypertension,resolved
Denies osteoporosis,negated
No known heart failure,negated
Differential includes heart failure,ambiguous
coronary artery disease fully resolved,resolved
insomnia 2 months ago,resolved
No history of anemia,negated
No insomnia,negated
vertigo resolved after treatment,resolved
Probable deep vein thrombosis,ambiguous
insomnia treated successfully,resolved
No history of fatigue,negated
Stable osteoporosis,ongoing
asthma 3 years ago,resolved
No signs of hypertension,negated
Had insomnia last year,resolved
Denies any history of hypertension,negated
Unlikely but possible cough,ambiguous
Possible history of hypertension,ambiguous
Probable seizures,ambiguous
Absence of vertigo,negated
No current sepsis,negated
Active atrial fibrillation,ongoing
heart failure resolved after treatment,resolved
stroke no longer present,resolved
Status post fatigue,resolved
Prior pulmonary embolism,resolved
h/o pulmonary embolism,resolved
Considering osteoporosis,ambiguous
Probable hypertension,ambiguous
Acute edema,ongoing
deep vein thrombosis in remission,resolved
headache since this morning,ongoing
No known atrial fibrillation,negated
Working diagnosis of gout,ambiguous
depression resolved after treatment,resolved
obesity last year,resolved
No signs of pneumonia,negated
Query coronary artery disease,ambiguous
chest pain in the past,resolved
No known pulmonary embolism,negated
vertigo not detected,negated
obesity -ve,negated
Patient has asthma,ongoing
No known fever,negated
fatigue has resolved,resolved
shortness of breath cleared 6 months ago,resolved
pneumonia no longer present,resolved
Chronic depression,ongoing
Concern for atrial fibrillation,ambiguous
Symptoms consistent with pneumonia,ambiguous
Free of pneumonia,negated
Possible anemia,ambiguous
Past history of headache,resolved
Former asthma,resolved
Patient has no cough,negated
hypertension improving,ongoing
Possible new cough,ambiguous
shortness of breath has resolved,resolved
rheumatoid arthritis for the past 3 days,ongoing
No history of gout,negated
Without rheumatoid arthritis,negated
Complains of stroke,ongoing
No osteoporosis,negated
No history of stroke,negated
Could represent deep vein thrombosis,ambiguous
Working diagnosis of heart failure,ambiguous
atrial fibrillation remains present,ongoing
No rheumatoid arthritis,negated
fatigue since this morning,ongoing
Patient has anxiety,ongoing
atrial fibrillation not detected,negated
No current vertigo,negated
Previous episode of headache,resolved
Worsening osteoporosis,ongoing
Absence of nausea,negated
anemia has resolved,resolved
osteoporosis ruled out,negated
Query deep vein thrombosis,ambiguous
fatigue previously diagnosed,resolved
Past history of atrial fibrillation,resolved
Prior asthma,resolved
Concern for fever,ambiguous
obesity fully resolved,resolved
pulmonary embolism absent,negated
anxiety for the past 3 days,ongoing
gout ruled out,negated
nausea remains present,ongoing
osteoporosis ongoing,ongoing
Acute seizures,ongoing
anxiety in the past,resolved
No signs of gout,negated
Had pneumonia last year,resolved
Managed anemia,ongoing
Status post seizures,resolved
Active anxiety,ongoing
migraine improving,ongoing
Considering seizures,ambiguous
fever active,ongoing
nausea not present,negated
No complaints of diabetes,negated
Possible new edema,ambiguous
Patient has depression,ongoing
Acute heart failure,ongoing
No complaints of vertigo,negated
insomnia controlled on medication,ongoing
Possible history of obesity,ambiguous
No documented deep vein thrombosis,negated
deep vein thrombosis -ve,negated
stroke not detected,negated
Patient has chest pain,ongoing
nausea ruled out,negated
pulmonary embolism resolved after treatment,resolved
Worsening stroke,ongoing
Imaging shows no evidence of anxiety,negated
Patient has no migraine,negated
obesity stable,ongoing
Denies anemia,negated
Without stroke,negated
Differential includes gout,ambiguous
pneumonia is stable,ongoing
Symptoms consistent with cough,ambiguous
Atypical presentation of seizures,ambiguous
fever not improving on current regimen,ongoing
Had sepsis last year,resolved
No evidence of deep vein thrombosis,negated
Previous episode of stroke,resolved
chest pain resolved,resolved
headache -ve,negated
gout -ve,negated
migraine absent,negated
No signs of migraine,negated
Denies stroke,negated
Considering hypertension,ambiguous
No longer has atrial fibrillation,resolved
cough 2 months ago,resolved
stroke treated successfully,resolved
Currently has headache,ongoing
No active insomnia,negated
gout cleared 6 months ago,resolved
Worsening edema,ongoing
Previous episode of hypertension,resolved
No current insomnia,negated
gout 2 months ago,resolved
No signs of osteoporosis,negated
No evidence of hypertension,negated
Could represent chest pain,ambiguous
Negative for chest pain,negated
chest pain has resolved,resolved
gout resolved after treatment,resolved
Complains of gout,ongoing
insomnia cleared 6 months ago,resolved
atrial fibrillation controlled on medication,ongoing
Past history of migraine,resolved
Differential includes nausea,ambiguous
Denies nausea,negated
s/p treatment for asthma,resolved
Possible depression,ambiguous
pneumonia for the past 3 days,ongoing
Concern for pneumonia,ambiguous
stroke has resolved,resolved
Query asthma,ambiguous
Query rheumatoid arthritis,ambiguous
anxiety not detected,negated
hypertension since this morning,ongoing
Patient denies seizures,negated
Complains of cough,ongoing
No evidence of heart failure,negated
migraine not improving on current regimen,ongoing
No longer has pneumonia,resolved
Suspected nausea,ambiguous
gout last year,resolved
Acute pulmonary embolism,ongoing
obesity in remission,resolved
No documented pneumonia,negated
Managed pulmonary embolism,ongoing
Had rheumatoid arthritis last year,resolved
Patient has no deep vein thrombosis,negated
fatigue not present,negated
Former atrial fibrillation,resolved
insomnia currently present,ongoing
No vertigo,negated
Managed seizures,ongoing
Rule out stroke,ambiguous
anemia not present,negated
Denies pneumonia,negated
May have anemia,ambiguous
No active nausea,negated
History of atrial fibrillation,resolved
shortness of breath treated successfully,resolved
hypertension is stable,ongoing
obesity for the past 3 days,ongoing
h/o deep vein thrombosis,resolved
Suspected anxiety,ambiguous
Cannot rule out heart failure,ambiguous
fever previously diagnosed,resolved
headache controlled on medication,ongoing
coronary artery disease cleared 6 months ago,resolved
insomnia not present,negated
diabetes stable,ongoing
Does not have osteoporosis,negated
migraine fully resolved,resolved
gout active,ongoing
Unlikely but possible diabetes,ambiguous
Recovered from heart failure,resolved
stroke previously diagnosed,resolved
Without insomnia,negated
No known stroke,negated
pneumonia remains present,ongoing
sepsis not detected,negated
Acute stroke,ongoing
sepsis previously diagnosed,resolved
Stable pneumonia,ongoing
heart failure was treated,resolved
Chronic chest pain,ongoing
diabetes resolved,resolved
fatigue 3 years ago,resolved
anxiety worsening,ongoing
headache not improving on current regimen,ongoing
Considering heart failure,ambiguous
To rule out sepsis,ambiguous
insomnia negative,negated
History of anemia,resolved
coronary artery disease since this morning,ongoing
No complaints of stroke,negated
seizures ongoing,ongoing
No longer has depression,resolved
Acute atrial fibrillation,ongoing
Free of migraine,negated
Had nausea last year,resolved
Previous episode of fatigue,resolved
edema controlled on medication,ongoing
gout currently present,ongoing
pulmonary embolism no longer present,resolved
anemia not improving on current regimen,ongoing
anxiety improving,ongoing
pneumonia stable,ongoing
Managed stroke,ongoing
seizures resolved,resolved
gout absent,negated
Does not have shortness of breath,negated
migraine last year,resolved
pulmonary embolism not detected,negated
atrial fibrillation not improving on current regimen,ongoing
No current obesity,negated
fever absent,negated
Concern for vertigo,ambiguous
osteoporosis no longer present,resolved
Suspected heart failure,ambiguous
Persistent sepsis,ongoing
Patient has heart failure,ongoing
No current shortness of breath,negated
hypertension previously diagnosed,resolved
Prior edema,resolved
depression negative,negated
Status post chest pain,resolved
Prior chest pain,resolved
Possible history of shortness of breath,ambiguous
pulmonary embolism previously diagnosed,resolved
seizures remains present,ongoing
depression 2 months ago,resolved
Chronic migraine,ongoing
No history of deep vein thrombosis,negated
Free of pulmonary embolism,negated
Acute headache,ongoing
obesity ruled out,negated
rheumatoid arthritis has resolved,resolved
Persistent stroke,ongoing
fever has resolved,resolved
Working diagnosis of anxiety,ambiguous
Had coronary artery disease last year,resolved
Former stroke,resolved
rheumatoid arthritis not improving on current regimen,ongoing
Atypical presentation of chest pain,ambiguous
hypertension no longer present,resolved
osteoporosis in the past,resolved
chest pain improving,ongoing
Past history of pulmonary embolism,resolved
Worsening obesity,ongoing
Suspected depression,ambiguous
No evidence of nausea,negated
Complains of diabetes,ongoing
fatigue improving,ongoing
s/p treatment for stroke,resolved
Questionable shortness of breath,ambiguous
Cannot rule out vertigo,ambiguous
diabetes not improving on current regimen,ongoing
Without fever,negated
Status post sepsis,resolved
Without chest pain,negated
No known vertigo,negated
depression for the past 3 days,ongoing
Considering atrial fibrillation,ambiguous
migraine remains present,ongoing
Working diagnosis of seizures,ambiguous
pneumonia was treated,resolved
Possible history of deep vein thrombosis,ambiguous
Denies depression,negated
diabetes active,ongoing
Does not have hypertension,negated
atrial fibrillation 3 years ago,resolved
Possible history of cough,ambiguous
gout is stable,ongoing
Previous episode of nausea,resolved
Complains of anxiety,ongoing
h/o diabetes,resolved
Does not have atrial fibrillation,negated
Presenting with insomnia,ongoing
edema has resolved,resolved
Chronic diabetes,ongoing
Absence of osteoporosis,negated
No complaints of migraine,negated
Status post anemia,resolved
Stable migraine,ongoing
May have deep vein thrombosis,ambiguous
stroke resolved after treatment,resolved
vertigo ruled out,negated
pneumonia absent,negated
No documented edema,negated
coronary artery disease for the past 3 days,ongoing
No history of edema,negated
asthma negative,negated
anxiety since this morning,ongoing
depression stable,ongoing
hypertension stable,ongoing
Negative for seizures,negated
No signs of shortness of breath,negated
? gout,ambiguous
No nausea,negated
Probable atrial fibrillation,ambiguous
Past history of gout,resolved
diabetes well-controlled,ongoing
Patient denies obesity,negated
Without pulmonary embolism,negated
Atypical presentation of nausea,ambiguous
Free of asthma,negated
diabetes controlled on medication,ongoing
Free of chest pain,negated
stroke remains present,ongoing
Differential includes diabetes,ambiguous
Suspected asthma,ambiguous
s/p treatment for gout,resolved
Cannot rule out coronary artery disease,ambiguous
Patient has shortness of breath,ongoing
Probable asthma,ambiguous
No known diabetes,negated
Does not have diabetes,negated
Status post osteoporosis,resolved
atrial fibrillation was treated,resolved
diabetes currently present,ongoing
Worsening fatigue,ongoing
To rule out edema,ambiguous
chest pain 3 years ago,resolved
asthma not present,negated
Suspected anemia,ambiguous
diabetes since this morning,ongoing
heart failure controlled on medication,ongoing
No current migraine,negated
Absence of fever,negated
Does not have edema,negated
Considering chest pain,ambiguous
Imaging shows no evidence of heart failure,negated
Imaging shows no evidence of obesity,negated
No active hypertension,negated
headache treated successfully,resolved
Currently has anemia,ongoing
Imaging shows no evidence of migraine,negated
cough was treated,resolved
anxiety well-controlled,ongoing
Without anxiety,negated
Denies insomnia,negated
anemia ruled out,negated
nausea treated successfully,resolved
shortness of breath in the past,resolved
Without gout,negated
Previous episode of anxiety,resolved
No history of hypertension,negated
No obesity,negated
Currently has osteoporosis,ongoing
Stable insomnia,ongoing
Recovered from hypertension,resolved
Rule out shortness of breath,ambiguous
Previous episode of vertigo,resolved
Probable insomnia,ambiguous
fever ongoing,ongoing
anemia no longer present,resolved
headache active,ongoing
asthma not detected,negated
No active gout,negated
depression well-controlled,ongoing
anemia treated successfully,resolved
chest pain continues,ongoing
Currently has shortness of breath,ongoing
Former insomnia,resolved
insomnia continues,ongoing
Imaging shows no evidence of depression,negated
coronary artery disease 3 years ago,resolved
Query obesity,ambiguous
vertigo -ve,negated
? shortness of breath,ambiguous
coronary artery disease ongoing,ongoing
Query nausea,ambiguous
Absence of pulmonary embolism,negated
No documented depression,negated
depression has resolved,resolved
nausea is stable,ongoing
No documented asthma,negated
History of obesity,resolved
stroke worsening,ongoing
Working diagnosis of atrial fibrillation,ambiguous
edema 3 years ago,resolved
Query cough,ambiguous
depression no longer present,resolved
Suspected seizures,ambiguous
Managed atrial fibrillation,ongoing
Acute hypertension,ongoing
h/o gout,resolved
Possible new shortness of breath,ambiguous
asthma currently present,ongoing
osteoporosis remains present,ongoing
No history of pneumonia,negated
Persistent insomnia,ongoing
Former anemia,resolved
obesity resolved after treatment,resolved
Probable headache,ambiguous
Possible history of rheumatoid arthritis,ambiguous
Recovered from vertigo,resolved
No documented gout,negated
Could represent shortness of breath,ambiguous
nausea absent,negated
Imaging shows no evidence of cough,negated
Probable gout,ambiguous
No evidence of anemia,negated
coronary artery disease improving,ongoing
osteoporosis cleared 6 months ago,resolved
Questionable migraine,ambiguous
edema last year,resolved
Questionable nausea,ambiguous
cough well-controlled,ongoing
atrial fibrillation ongoing,ongoing
diabetes worsening,ongoing
